Experiment,Region,Genotype,Period,Amplitude,Phase,RAE
Dull603,1,cca1 lhy-100,20.68,8051,-7.67,0.52
Dull603,2,cca1 lhy-100,23.65,5645,2.8,0.89
Dull603,3,cca1 lhy-100,30.75,5189,8.03,0.59
Dull603,4,cca1 lhy-100,24.87,2926,-3.46,0.99
Dull603,6,cca1 lhy-100,28.83,5482,6.66,0.47
Dull603,9,cca1 lhy-100,18.67,6375,8.28,0.85
Dull603,10,cca1 lhy-100,16.15,4815,-6.11,0.64
Dull603,11,cca1 lhy-100,20.45,7715,-8.67,0.89
Dull603,12,cca1 lhy-100,26.75,2691,-1.06,0.67
Dull603,13,cca1 lhy-100,23.5,4014,9.96,0.62
Dull603,14,cca1 lhy-100,18.68,6296,7.11,0.84
Dull603,15,cca1 lhy-100,19.27,1941,8.72,0.96
Dull603,16,cca1 lhy-100,22.32,3282,3.82,0.88
Dull603,17,cca1 lhy-100,32.4,6574,-12.56,0.56
Dull603,245,cca1 lhy-100,28.02,4755,-4.35,0.88
Dull603,248,cca1 lhy-100,20.95,4974,-7.6,0.64
Dull603,249,cca1 lhy-100,30.43,5177,1.67,0.81
Dull603,250,cca1 lhy-100,26.9,7706,-0.7,0.66
Dull603,251,cca1 lhy-100,23.94,4067,3.94,0.75
Dull603,252,cca1 lhy-100,28.19,11200,4.83,0.56
Dull603,254,cca1 lhy-100,24.29,3507,-4.78,0.63
Dull603,255,cca1 lhy-100,18.32,5912,4.57,0.84
Dull603,256,cca1 lhy-100,16.38,10710,3.87,0.52
Dull603,257,cca1 lhy-100,24.53,9073,-2.73,0.57
Dull603,258,cca1 lhy-100,23.23,5492,1.1,0.57
Dull603,259,cca1 lhy-100,25.66,10130,9.05,0.64
Dull606,136,cca1 lhy-100,30.21,3342,10.99,0.89
Dull606,137,cca1 lhy-100,23.16,8290,-3.78,0.83
Dull606,138,cca1 lhy-100,23.93,2552,-1.89,0.69
Dull606,139,cca1 lhy-100,30.45,6743,15.03,0.46
Dull606,140,cca1 lhy-100,29.84,3856,10.21,0.98
Dull606,141,cca1 lhy-100,29.1,1586,-14.46,0.98
Dull606,143,cca1 lhy-100,34.23,3050,14.4,0.75
Dull606,144,cca1 lhy-100,26.27,4231,-1.87,0.84
Dull606,145,cca1 lhy-100,18.13,3902,-7.07,0.72
