Experiment,Region,Genotype,Condition,Intensity,Period,Amplitude,Phase,RAE
Dull617,1,cca1 lhy-100,cB,200,28.32,1818,9.77,0.75
Dull617,2,cca1 lhy-100,cB,200,NA,NA,NA,NA
Dull617,3,cca1 lhy-100,cB,200,20.62,1931,1.37,0.84
Dull617,4,cca1 lhy-100,cB,200,22.27,2854,1.75,0.78
Dull617,5,cca1 lhy-100,cB,200,NA,NA,NA,NA
Dull617,6,cca1 lhy-100,cB,200,18.98,1636,8.75,0.88
Dull617,7,cca1 lhy-100,cB,200,28.91,3552,11.32,0.74
Dull617,8,cca1 lhy-100,cB,200,NA,NA,NA,NA
Dull617,9,cca1 lhy-100,cB,200,31.86,3053,15.43,0.64
Dull617,10,cca1 lhy-100,cB,200,26.79,2803,6.58,0.63
Dull617,11,cca1 lhy-100,cB,200,NA,NA,NA,NA
Dull617,12,cca1 lhy-100,cB,200,19.61,2576,6.15,0.79
Dull617,13,cca1 lhy-100,cB,200,NA,NA,NA,NA
Dull617,14,cca1 lhy-100,cB,200,29.99,2149,12.95,0.58
Dull617,15,cca1 lhy-100,cB,200,26.57,1280,-2.19,0.96
Dull617,16,cca1 lhy-100,cB,200,NA,NA,NA,NA
Dull617,252,cca1 lhy-100,cB,10,20.59,4487,6.17,0.56
Dull617,253,cca1 lhy-100,cB,10,21.31,978.2,-8.68,0.65
Dull617,254,cca1 lhy-100,cB,10,21.15,707,-9.63,0.67
Dull617,255,cca1 lhy-100,cB,10,NA,NA,NA,NA
Dull617,256,cca1 lhy-100,cB,10,24.73,2304,0.19,0.6
Dull617,257,cca1 lhy-100,cB,10,21.08,1634,-7.78,0.61
Dull617,258,cca1 lhy-100,cB,10,23.34,1166,-6.55,0.85
Dull617,259,cca1 lhy-100,cB,10,NA,NA,NA,NA
Dull617,260,cca1 lhy-100,cB,10,25.92,2441,-0.33,0.77
Dull617,261,cca1 lhy-100,cB,10,NA,NA,NA,NA
Dull617,262,cca1 lhy-100,cB,10,25.11,8573,8.46,0.29
Dull617,263,cca1 lhy-100,cB,10,20.12,1100,-8.9,0.64
Dull617,264,cca1 lhy-100,cB,10,NA,NA,NA,NA
Dull617,265,cca1 lhy-100,cB,10,19.94,5311,-9.12,0.32
Dull617,266,cca1 lhy-100,cB,10,19.86,2985,8.99,0.55
Dull617,267,cca1 lhy-100,cB,10,24.71,4280,-1.04,0.59
Dull617,268,cca1 lhy-100,cB,10,NA,NA,NA,NA
Dull617,269,cca1 lhy-100,cB,10,24.28,2071,-3.06,0.66
Dull619,1,cca1 lhy-100,cR,100,NA,NA,NA,NA
Dull619,2,cca1 lhy-100,cR,100,21.35,3488,-1.65,0.56
Dull619,3,cca1 lhy-100,cR,100,27.24,1187,9.77,0.95
Dull619,4,cca1 lhy-100,cR,100,NA,NA,NA,NA
Dull619,5,cca1 lhy-100,cR,100,NA,NA,NA,NA
Dull619,6,cca1 lhy-100,cR,100,15.16,2688,4.62,0.83
Dull619,7,cca1 lhy-100,cR,100,21.96,4410,0.03,0.4
Dull619,8,cca1 lhy-100,cR,100,31.75,3027,9.61,0.7
Dull619,9,cca1 lhy-100,cR,100,15.94,2478,0.04,0.72
Dull619,10,cca1 lhy-100,cR,100,25.09,2999,2.96,0.74
Dull619,11,cca1 lhy-100,cR,100,19.89,2106,-3.69,0.89
Dull619,12,cca1 lhy-100,cR,100,24.52,1711,7.3,0.56
Dull619,13,cca1 lhy-100,cR,100,25.23,1875,1.13,0.6
Dull619,14,cca1 lhy-100,cR,100,17.59,3559,6.66,0.51
Dull619,15,cca1 lhy-100,cR,100,NA,NA,NA,NA
Dull619,16,cca1 lhy-100,cR,100,NA,NA,NA,NA
Dull619,17,cca1 lhy-100,cR,100,NA,NA,NA,NA
Dull619,18,cca1 lhy-100,cR,100,33.17,4399,-11.74,0.51
Dull619,255,cca1 lhy-100,cR,10,24.44,353.4,8.48,0.74
